miRNA	gene	support type	label	split	hist	num_miRNA_disease	num_gene_disease
hsa-miR-5195	ZNF217	miRWalk	0	train	[0.34710743801652894, 0.5619834710743802, 0.07024793388429752, 0.01790633608815427, 0.0027548209366391185]	11	66
hsa-miR-6891	SLC9A3R2	miRWalk	0	train	[0.35542168674698793, 0.6325301204819277, 0.012048192771084338, 0.0, 0.0]	2	83
hsa-miR-98	SLC6A9	miRWalk	0	train	[0.4257854821235103, 0.5462260743950885, 0.025821596244131457, 0.0012639942217407005, 0.0009028530155290719]	78	71
hsa-miR-486	THRB	miRDB;miRWalk	0	train	[0.3825568797399783, 0.5760021668472373, 0.036132177681473455, 0.004171180931744312, 0.0011375947995666306]	130	142
hsa-miR-2113	RANBP10	miRWalk	0	train	[0.21875, 0.71875, 0.0625, 0.0, 0.0]	4	8
hsa-miR-4756	FA2H	miRWalk	0	train	[0.6106870229007634, 0.3702290076335878, 0.015267175572519083, 0.003816793893129771, 0.0]	2	131
hsa-miR-425	TRIM72	miRWalk	0	train	[0.36574952561669827, 0.575426944971537, 0.05265654648956357, 0.003320683111954459, 0.0028462998102466793]	62	34
hsa-miR-640	DAD1	miRWalk	0	train	[0.3230769230769231, 0.6, 0.07692307692307693, 0.0, 0.0]	10	13
hsa-miR-877	INAVA	miRWalk	0	train	[0.2881944444444444, 0.6458333333333334, 0.05555555555555555, 0.008680555555555556, 0.001736111111111111]	32	18
hsa-miR-7112	ZNF484	miRWalk	0	train	[0.4444444444444444, 0.5555555555555556, 0.0, 0.0, 0.0]	2	9
hsa-miR-1286	LRPAP1	miRWalk	0	train	[0.3021052631578947, 0.6378947368421053, 0.04631578947368421, 0.011578947368421053, 0.002105263157894737]	10	95
hsa-miR-4463	PPARGC1A	miRWalk	0	train	[0.37857142857142856, 0.5952380952380952, 0.02238095238095238, 0.0038095238095238095, 0.0]	6	350
hsa-miR-3175	CPNE4	miRWalk	0	train	[0.48148148148148145, 0.49074074074074076, 0.027777777777777776, 0.0, 0.0]	9	12
hsa-miR-664a	HERPUD1	miRWalk	0	train	[0.4053724053724054, 0.5555555555555556, 0.03663003663003663, 0.002442002442002442, 0.0]	13	63
hsa-miR-370	RASSF9	miRWalk	0	train	[0.18, 0.74, 0.0675, 0.0125, 0.0]	80	5
hsa-miR-1343	NLRP8	miRWalk	0	train	[0.1, 0.75, 0.1, 0.05, 0.0]	10	2
hsa-miR-450a-2	PIK3CG	miRWalk	0	train	[0.38619436875567664, 0.5825613079019074, 0.02706630336058129, 0.0032697547683923707, 0.0009082652134423251]	5	1101
hsa-miR-154	PPARA	miRWalk	0	train	[0.35919762641898867, 0.5750128998968008, 0.05869453044375645, 0.005417956656346749, 0.001676986584107327]	38	408
hsa-miR-4685	LALBA	miRWalk	0	train	[0.2833333333333333, 0.7, 0.016666666666666666, 0.0, 0.0]	2	30
hsa-miR-155	KCNK2	miRWalk	0	train	[0.3584766749213573, 0.5902550030118466, 0.04618164781473797, 0.004049260424335721, 0.0010374138277223746]	446	67
hsa-miR-5739	ATM	miRWalk	0	train	[0.2222222222222222, 0.7353801169590644, 0.033625730994152045, 0.007309941520467836, 0.0014619883040935672]	2	684
hsa-miR-6507	UGT1A7	miRDB	0	train	[0.448, 0.504, 0.048, 0.0, 0.0]	1	125
hsa-miR-1910	BHMT2	miRWalk	0	train	[0.2, 0.775, 0.025, 0.0, 0.0]	4	10
hsa-let-7f-1	U2SURP	miRDB	0	train	[0.2222222222222222, 0.7222222222222222, 0.05555555555555555, 0.0, 0.0]	6	3
hsa-miR-487b	PGGT1B	miRDB;miRWalk	0	train	[0.32, 0.6066666666666667, 0.06666666666666667, 0.006666666666666667, 0.0]	10	15
hsa-miR-616	URM1	miRWalk	0	train	[0.30666666666666664, 0.5466666666666666, 0.12, 0.013333333333333334, 0.013333333333333334]	15	5
hsa-miR-296	MRPS16	miRWalk	0	train	[0.5447830101569714, 0.4469067405355494, 0.008310249307479225, 0.0, 0.0]	57	19
hsa-miR-5187	SNF8	miRWalk	0	train	[0.0, 0.7, 0.3, 0.0, 0.0]	1	10
hsa-miR-5582	TMOD2	miRWalk	0	train	[0.375, 0.625, 0.0, 0.0, 0.0]	2	4
hsa-miR-497	CD276	miRWalk	0	train	[0.31818689293290164, 0.6210784861002567, 0.05068661382159205, 0.0077592944066093555, 0.00228871273864017]	106	169
hsa-miR-519b	RAP1GAP2	miRWalk	0	train	[0.5, 0.5, 0.0, 0.0, 0.0]	4	1
hsa-miR-199a	SLC4A9	miRWalk	0	train	[0.2916241062308478, 0.6624106230847804, 0.0372829417773238, 0.007660878447395302, 0.0010214504596527069]	178	11
hsa-miR-570	HAT1	miRWalk	0	train	[0.32936507936507936, 0.6071428571428571, 0.0496031746031746, 0.011904761904761904, 0.001984126984126984]	12	42
hsa-miR-7844	SORBS1	miRWalk	0	train	[0.21774193548387097, 0.782258064516129, 0.0, 0.0, 0.0]	1	124
hsa-miR-130b	ADIPOR1	miRWalk	0	train	[0.2995220830586684, 0.6266479894528675, 0.06435398813447595, 0.006427158866183257, 0.003048780487804878]	82	148
hsa-miR-6881	UGT2A3	miRWalk	0	train	[0.5, 0.5, 0.0, 0.0, 0.0]	4	1
hsa-miR-4254	BPNT1	miRWalk	0	train	[0.5625, 0.4375, 0.0, 0.0, 0.0]	2	8
hsa-miR-4683	ZNF432	miRWalk	0	train	[0.8888888888888888, 0.1111111111111111, 0.0, 0.0, 0.0]	1	9
hsa-miR-424	TMCC1	TargetScan;miRWalk	0	train	[0.4724770642201835, 0.463302752293578, 0.05504587155963303, 0.009174311926605505, 0.0]	109	2
hsa-miR-1229	TMEM132E	miRWalk	0	train	[0.4805194805194805, 0.4155844155844156, 0.06493506493506493, 0.03896103896103896, 0.0]	11	7
hsa-miR-183	SNTA1	miRWalk	0	train	[0.49378185524974516, 0.4854230377166157, 0.01855249745158002, 0.002242609582059123, 0.0]	109	45
hsa-miR-4669	SAP30BP	miRDB;miRWalk	0	train	[0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]	2	3
hsa-miR-4726	CTNND2	miRWalk	0	train	[0.48135593220338985, 0.47627118644067795, 0.03728813559322034, 0.005084745762711864, 0.0]	5	118
hsa-miR-6746	PRLHR	miRWalk	0	train	[0.42857142857142855, 0.5, 0.0, 0.07142857142857142, 0.0]	1	14
hsa-miR-659	BRF2	miRWalk	0	train	[0.31746031746031744, 0.6296296296296297, 0.026455026455026454, 0.021164021164021163, 0.005291005291005291]	9	21
hsa-miR-148b	ALS2	miRWalk	0	train	[0.44815668202764974, 0.5359062980030722, 0.01555299539170507, 0.00038402457757296467, 0.0]	62	84
hsa-miR-524	SCARF1	miRWalk	0	train	[0.3241758241758242, 0.6153846153846154, 0.054945054945054944, 0.005494505494505495, 0.0]	26	7
hsa-miR-5003	ADAMTS15	miRWalk	0	train	[0.23529411764705882, 0.7058823529411765, 0.029411764705882353, 0.029411764705882353, 0.0]	2	17
hsa-miR-378e	FBXO41	miRWalk	0	train	[0.6, 0.35, 0.05, 0.0, 0.0]	4	5
hsa-miR-4751	RPS4X	miRWalk	0	train	[0.39285714285714285, 0.5892857142857143, 0.017857142857142856, 0.0, 0.0]	2	28
hsa-miR-4783	SPG7	miRWalk	0	train	[0.36515513126491644, 0.6014319809069213, 0.031026252983293555, 0.0, 0.002386634844868735]	1	419
hsa-miR-6785	ARRB2	miRWalk	0	train	[0.4369747899159664, 0.5210084033613446, 0.03361344537815126, 0.008403361344537815, 0.0]	5	119
hsa-miR-526b	WNT3	miRWalk	0	train	[0.3605263157894737, 0.5744360902255639, 0.056766917293233084, 0.007142857142857143, 0.0011278195488721805]	19	140
hsa-miR-296	MB	miRWalk	0	train	[0.3510175438596491, 0.5950877192982457, 0.04631578947368421, 0.0050526315789473685, 0.0025263157894736842]	57	125
hsa-miR-645	BLOC1S5	miRWalk	0	train	[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0]	4	3
hsa-miR-320c	UNC93B1	miRWalk	0	train	[0.41017488076311603, 0.5500794912559619, 0.034976152623211444, 0.0047694753577106515, 0.0]	17	37
hsa-miR-345	NAA25	miRWalk	0	train	[0.3305114638447972, 0.5943562610229277, 0.06243386243386243, 0.010229276895943563, 0.0024691358024691358]	35	81
hsa-miR-4476	TNFRSF10A	miRWalk	0	train	[0.09032258064516129, 0.6580645161290323, 0.21935483870967742, 0.01935483870967742, 0.012903225806451613]	1	155
hsa-miR-3529	AGR3	miRWalk	0	train	[0.12121212121212122, 0.6666666666666666, 0.19696969696969696, 0.015151515151515152, 0.0]	2	33
hsa-miR-654	ARL4A	miRWalk	0	train	[0.2375, 0.5625, 0.1625, 0.0375, 0.0]	40	2
hsa-miR-1249	CD8B	miRWalk	0	train	[0.34210526315789475, 0.6269349845201239, 0.02631578947368421, 0.0046439628482972135, 0.0]	19	34
hsa-miR-5572	WNT9A	miRWalk	0	train	[0.35294117647058826, 0.6470588235294118, 0.0, 0.0, 0.0]	1	17
hsa-miR-6075	PIGM	miRWalk	0	train	[0.75, 0.25, 0.0, 0.0, 0.0]	1	44
hsa-miR-6870	SLC66A2	miRWalk	0	train	[0.0, 1.0, 0.0, 0.0, 0.0]	2	1
hsa-miR-486	PDK1	miRWalk	0	train	[0.35347091932457786, 0.5938555347091933, 0.04465290806754221, 0.006660412757973733, 0.0013602251407129457]	130	164
hsa-miR-6836	SF1	miRWalk	0	train	[0.45, 0.35, 0.15, 0.05, 0.0]	1	20
hsa-miR-3926	SRMS	miRWalk	0	train	[0.09090909090909091, 0.9090909090909091, 0.0, 0.0, 0.0]	1	11
hsa-miR-6133	ADGRL1	miRWalk	0	train	[0.21428571428571427, 0.7857142857142857, 0.0, 0.0, 0.0]	2	7
hsa-miR-548g	ARHGAP32	miRDB;miRWalk	0	train	[0.21212121212121213, 0.7878787878787878, 0.0, 0.0, 0.0]	3	11
hsa-miR-6165	MCAM	miRWalk	0	train	[0.4289940828402367, 0.5088757396449705, 0.04881656804733728, 0.013313609467455622, 0.0]	4	169
hsa-miR-6886	ZNF22	miRWalk	0	train	[0.3333333333333333, 0.5555555555555556, 0.1111111111111111, 0.0, 0.0]	1	9
hsa-miR-103b	RSF1	miRWalk	0	train	[0.29130434782608694, 0.6173913043478261, 0.0782608695652174, 0.013043478260869565, 0.0]	5	46
hsa-miR-6751	ACO1	miRWalk	0	train	[0.42924528301886794, 0.5235849056603774, 0.04716981132075472, 0.0, 0.0]	4	53
hsa-miR-644a	ATP6V0D2	miRWalk	0	train	[0.4380952380952381, 0.5047619047619047, 0.047619047619047616, 0.009523809523809525, 0.0]	5	21
hsa-miR-1182	DST	miRWalk	0	train	[0.5068027210884354, 0.4605442176870748, 0.029251700680272108, 0.0027210884353741495, 0.0006802721088435374]	10	147
hsa-miR-6804	ATXN7L1	miRWalk	0	train	[0.2222222222222222, 0.6666666666666666, 0.1111111111111111, 0.0, 0.0]	1	9
hsa-miR-518c	NCOA2	miRWalk	0	train	[0.19736842105263158, 0.7131578947368421, 0.08421052631578947, 0.002631578947368421, 0.002631578947368421]	4	95
hsa-miR-4687	NPTXR	miRWalk	0	train	[0.5147058823529411, 0.4264705882352941, 0.04411764705882353, 0.0, 0.014705882352941176]	4	17
hsa-miR-6742	PLPP7	miRWalk	0	train	[0.5, 0.5, 0.0, 0.0, 0.0]	2	1
hsa-miR-516a	OLIG3	miRWalk	0	train	[0.4642857142857143, 0.5357142857142857, 0.0, 0.0, 0.0]	7	4
hsa-miR-26b	DFFA	miRWalk	0	train	[0.3216494845360825, 0.6252577319587629, 0.046134020618556704, 0.0059278350515463915, 0.0010309278350515464]	97	40
hsa-miR-3199	GDNF	miRWalk	0	train	[0.6161369193154034, 0.3508557457212714, 0.029339853300733496, 0.003667481662591687, 0.0]	2	409
hsa-miR-4731	IFT20	miRWalk	0	train	[0.32407407407407407, 0.5925925925925926, 0.07407407407407407, 0.009259259259259259, 0.0]	12	9
hsa-miR-520b	RAD54L2	miRWalk	0	train	[0.9333333333333333, 0.06666666666666667, 0.0, 0.0, 0.0]	15	1
hsa-miR-3156	PPP6C	miRWalk	0	train	[0.25, 0.7333333333333333, 0.016666666666666666, 0.0, 0.0]	3	20
hsa-miR-214	ZNF710	miRDB;miRWalk	0	train	[0.6428571428571429, 0.3516483516483517, 0.005494505494505495, 0.0, 0.0]	182	1
hsa-miR-4742	BBOF1	miRWalk	0	train	[0.8888888888888888, 0.1111111111111111, 0.0, 0.0, 0.0]	2	9
hsa-miR-603	ZC3H7B	miRDB	0	train	[0.3416666666666667, 0.5916666666666667, 0.058333333333333334, 0.008333333333333333, 0.0]	8	15
hsa-miR-6736	TFCP2	miRWalk	0	train	[0.34782608695652173, 0.5217391304347826, 0.08695652173913043, 0.03260869565217391, 0.010869565217391304]	2	46
hsa-miR-4529	MAMLD1	miRWalk	0	train	[0.375, 0.5865384615384616, 0.038461538461538464, 0.0, 0.0]	2	52
hsa-miR-574	TMEM18	miRWalk	0	train	[0.3735294117647059, 0.5754901960784313, 0.0392156862745098, 0.0058823529411764705, 0.0058823529411764705]	60	17
hsa-miR-5702	GRIN2A	miRWalk	0	train	[0.6297169811320755, 0.3632075471698113, 0.007075471698113208, 0.0, 0.0]	2	212
hsa-miR-4717	ZNF611	miRDB;miRWalk	0	train	[0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]	3	3
hsa-miR-1301	KIR2DL1	miRDB;miRWalk	0	train	[0.5150631681243926, 0.4518950437317784, 0.029154518950437316, 0.0029154518950437317, 0.0009718172983479105]	21	49
hsa-miR-1287	SCAF11	miRWalk	0	train	[0.3396103896103896, 0.6006493506493507, 0.045454545454545456, 0.012337662337662338, 0.001948051948051948]	20	77
hsa-miR-6791	NR1H2	miRWalk	0	train	[0.19776119402985073, 0.6567164179104478, 0.12686567164179105, 0.018656716417910446, 0.0]	2	134
hsa-miR-490	FBXO27	miRWalk	0	train	[0.5849056603773585, 0.41509433962264153, 0.0, 0.0, 0.0]	53	1
hsa-miR-7109	KIF3A	miRWalk	0	train	[0.3854166666666667, 0.5104166666666666, 0.06770833333333333, 0.036458333333333336, 0.0]	3	64
hsa-miR-6865	ANGPTL2	miRWalk	0	train	[0.472, 0.528, 0.0, 0.0, 0.0]	1	125
hsa-miR-1914	BRS3	miRWalk	0	train	[0.3457854406130268, 0.5943486590038314, 0.05363984674329502, 0.004789272030651341, 0.0014367816091954023]	8	261
hsa-miR-6769b	GATAD2A	miRWalk	0	train	[0.4342105263157895, 0.4868421052631579, 0.07894736842105263, 0.0, 0.0]	4	19
hsa-miR-6886	SLC25A45	miRWalk	0	train	[0.0, 1.0, 0.0, 0.0, 0.0]	1	7
hsa-miR-4538	KRT40	miRWalk	0	train	[0.0, 1.0, 0.0, 0.0, 0.0]	1	4
hsa-miR-1244	POLI	miRWalk	0	train	[0.3625, 0.59375, 0.04375, 0.0, 0.0]	5	32
hsa-miR-4691	NUDT10	miRDB;miRWalk	0	train	[0.2608695652173913, 0.7391304347826086, 0.0, 0.0, 0.0]	3	23
hsa-miR-2113	KAT8	miRWalk	0	train	[0.390625, 0.51875, 0.065625, 0.01875, 0.00625]	4	80
hsa-miR-6872	KLHDC7A	miRWalk	0	train	[0.3333333333333333, 0.5555555555555556, 0.1111111111111111, 0.0, 0.0]	1	9
hsa-miR-484	IMP4	miRWalk	0	train	[0.3333333333333333, 0.6190476190476191, 0.047619047619047616, 0.0, 0.0]	42	1
hsa-miR-921	ZFAND2B	miRWalk	0	train	[0.26666666666666666, 0.6, 0.13333333333333333, 0.0, 0.0]	3	5
hsa-miR-3170	SPR	miRWalk	0	train	[0.5055555555555555, 0.4777777777777778, 0.011111111111111112, 0.005555555555555556, 0.0]	2	90
hsa-miR-145	SEC14L3	miRWalk	0	train	[0.4162037037037037, 0.55625, 0.020833333333333332, 0.004629629629629629, 0.0020833333333333333]	270	16
hsa-miR-602	GID8	miRWalk	0	train	[0.2857142857142857, 0.4897959183673469, 0.20408163265306123, 0.02040816326530612, 0.0]	7	7
hsa-miR-6780b	TEX46	miRWalk	0	train	[0.1111111111111111, 0.7777777777777778, 0.1111111111111111, 0.0, 0.0]	5	9
hsa-miR-105	GNPDA2	miRWalk	0	train	[0.4238095238095238, 0.5285714285714286, 0.04285714285714286, 0.0, 0.004761904761904762]	15	14
hsa-miR-488	LRP8	miRWalk	0	train	[0.2903409090909091, 0.6488636363636363, 0.055113636363636365, 0.004545454545454545, 0.0011363636363636363]	32	55
hsa-miR-5003	MACF1	miRWalk	0	train	[0.43548387096774194, 0.5483870967741935, 0.016129032258064516, 0.0, 0.0]	2	62
hsa-miR-920	LHX6	miRWalk	0	train	[0.2159090909090909, 0.7159090909090909, 0.06818181818181818, 0.0, 0.0]	4	22
hsa-miR-4720	MTMR12	miRWalk	0	train	[0.6, 0.4, 0.0, 0.0, 0.0]	1	5
hsa-miR-532	CXCL8	miRWalk	0	train	[0.3632560422034106, 0.5919641761747025, 0.040522635259477364, 0.003312476996687523, 0.0009446693657219973]	65	1254
hsa-miR-4732	ADIPOQ	miRWalk	0	train	[0.4149767758015181, 0.5533023677353575, 0.02775574940523394, 0.0031720856463124504, 0.0007930214115781126]	13	679
hsa-miR-921	RORC	miRWalk	0	train	[0.3560606060606061, 0.5795454545454546, 0.03409090909090909, 0.026515151515151516, 0.003787878787878788]	3	88
hsa-miR-412	TCF15	miRWalk	0	train	[0.13333333333333333, 0.8, 0.06666666666666667, 0.0, 0.0]	3	5
hsa-miR-6509	PIGK	miRWalk	0	train	[0.3888888888888889, 0.3333333333333333, 0.2222222222222222, 0.05555555555555555, 0.0]	2	9
hsa-miR-6076	AHRR	miRWalk	0	train	[0.3673469387755102, 0.5714285714285714, 0.02040816326530612, 0.04081632653061224, 0.0]	1	49
hsa-miR-4512	SULT1A4	miRWalk	0	train	[0.5454545454545454, 0.45454545454545453, 0.0, 0.0, 0.0]	1	11
hsa-miR-6829	ACTR5	miRWalk	0	train	[0.0, 1.0, 0.0, 0.0, 0.0]	1	2
hsa-miR-6851	USP6	miRWalk	0	train	[0.21818181818181817, 0.7272727272727273, 0.05454545454545454, 0.0, 0.0]	1	55
hsa-miR-378c	HRH1	miRWalk	0	train	[0.43636363636363634, 0.5121212121212121, 0.048484848484848485, 0.0015151515151515152, 0.0015151515151515152]	10	66
hsa-miR-6742	SLIT1	miRWalk	0	train	[0.3, 0.65, 0.05, 0.0, 0.0]	2	10
hsa-miR-455	NDST1	miRWalk	0	train	[0.42731979291119077, 0.5432098765432098, 0.02562060268153458, 0.0026549847338377805, 0.0011947431302270011]	81	93
hsa-miR-941	L3MBTL4	miRWalk	0	train	[0.3020833333333333, 0.625, 0.0625, 0.010416666666666666, 0.0]	12	8
hsa-miR-4487	EVI5	miRWalk	0	train	[0.2840909090909091, 0.7045454545454546, 0.011363636363636364, 0.0, 0.0]	4	22
hsa-miR-642b	UTP15	miRWalk	0	train	[0.16666666666666666, 0.8333333333333334, 0.0, 0.0, 0.0]	6	2
hsa-miR-103a	GNAQ	miRWalk	0	train	[0.3490867579908676, 0.6127853881278539, 0.03538812785388128, 0.002226027397260274, 0.0005136986301369863]	80	219
hsa-miR-4738	PRTFDC1	miRWalk	0	train	[0.5, 0.44642857142857145, 0.03571428571428571, 0.017857142857142856, 0.0]	2	28
hsa-miR-518e	KAZN	miRWalk	0	train	[0.3125, 0.6875, 0.0, 0.0, 0.0]	2	16
hsa-miR-612	CREB5	miRDB;miRWalk	0	train	[0.3902777777777778, 0.5388888888888889, 0.06527777777777778, 0.004861111111111111, 0.0006944444444444445]	30	48
hsa-miR-4697	CCNY	miRWalk	0	train	[0.1794871794871795, 0.6538461538461539, 0.15384615384615385, 0.0, 0.01282051282051282]	3	26
hsa-miR-1203	IGSF6	miRWalk	0	train	[0.75, 0.25, 0.0, 0.0, 0.0]	3	12
hsa-miR-6845	GOLPH3	miRDB	0	train	[0.3678571428571429, 0.5571428571428572, 0.06785714285714285, 0.0035714285714285713, 0.0035714285714285713]	2	140
hsa-miR-1296	IFNGR1	miRWalk	0	train	[0.4477124183006536, 0.5212418300653595, 0.02886710239651416, 0.0016339869281045752, 0.0005446623093681918]	12	153
hsa-miR-204	PAPOLA	miRWalk	0	train	[0.35166858457997696, 0.6087456846950517, 0.03559647103950901, 0.002915228231683928, 0.0010740314537782893]	165	79
hsa-miR-1233	NAP1L4	miRWalk	0	train	[0.25925925925925924, 0.6049382716049383, 0.12345679012345678, 0.012345679012345678, 0.0]	9	9
hsa-miR-4257	ENPP4	miRWalk	0	train	[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0]	3	1
hsa-miR-6820	CES2	miRWalk	0	train	[0.27586206896551724, 0.6091954022988506, 0.09195402298850575, 0.0, 0.022988505747126436]	1	87
hsa-miR-1	PSD3	miRWalk	0	train	[0.3336575875486381, 0.6196498054474708, 0.04113396331295164, 0.004030016675931073, 0.001528627015008338]	257	28
hsa-miR-6775	SPX	miRWalk	0	train	[0.36363636363636365, 0.6363636363636364, 0.0, 0.0, 0.0]	1	33
hsa-miR-187	CD74	miRWalk	0	train	[0.34248366013071896, 0.6073202614379085, 0.04392156862745098, 0.004313725490196078, 0.00196078431372549]	45	170
hsa-let-7b	ZNF490	miRWalk	0	train	[0.30097087378640774, 0.6990291262135923, 0.0, 0.0, 0.0]	103	1
hsa-miR-1321	ACOXL	miRWalk	0	train	[0.41739130434782606, 0.5173913043478261, 0.05652173913043478, 0.004347826086956522, 0.004347826086956522]	5	46
hsa-miR-5692a	ARHGAP11A	miRDB	0	train	[0.3333333333333333, 0.4166666666666667, 0.16666666666666666, 0.08333333333333333, 0.0]	1	12
hsa-miR-4692	PTPRT	miRWalk	0	train	[0.6037735849056604, 0.39622641509433965, 0.0, 0.0, 0.0]	1	53
hsa-miR-548t	TCF4	miRDB	0	train	[0.48677248677248675, 0.42592592592592593, 0.07671957671957672, 0.010582010582010581, 0.0]	1	378
hsa-miR-346	FBXO6	miRWalk	0	train	[0.30787037037037035, 0.6342592592592593, 0.05324074074074074, 0.0023148148148148147, 0.0023148148148148147]	27	16
hsa-miR-92b	MINAR1	miRDB;miRWalk	0	train	[0.2, 0.7076923076923077, 0.07179487179487179, 0.020512820512820513, 0.0]	65	3
hsa-miR-873	MCTS1	miRWalk	0	train	[0.3286697247706422, 0.5915137614678899, 0.06697247706422019, 0.009403669724770643, 0.0034403669724770644]	40	109
hsa-miR-7161	PDGFD	miRWalk	0	train	[0.5425531914893617, 0.4148936170212766, 0.0425531914893617, 0.0, 0.0]	1	94
hsa-miR-27a	MAPK1IP1L	miRWalk	0	train	[0.30423280423280424, 0.6402116402116402, 0.03968253968253968, 0.015873015873015872, 0.0]	189	4
hsa-miR-1306	ADCY3	miRWalk	0	train	[0.36436170212765956, 0.5625, 0.06515957446808511, 0.003989361702127659, 0.003989361702127659]	16	47
hsa-miR-4775	TMEM192	miRWalk	0	train	[1.0, 0.0, 0.0, 0.0, 0.0]	1	1
hsa-miR-1294	CFAP161	miRWalk	0	train	[0.0625, 0.5, 0.4375, 0.0, 0.0]	16	1
hsa-miR-6088	RHOC	miRWalk	0	train	[0.14666666666666667, 0.7133333333333334, 0.12666666666666668, 0.013333333333333334, 0.0]	3	50
hsa-miR-199a	TCOF1	miRWalk	0	train	[0.4131656082071324, 0.5639146718775444, 0.021413450578081746, 0.0011398794984530207, 0.0003663898387884709]	178	138
hsa-miR-6875	CD8B2	miRWalk	0	train	[0.2857142857142857, 0.7142857142857143, 0.0, 0.0, 0.0]	7	1
hsa-miR-6068	GPR63	miRWalk	0	train	[0.6, 0.4, 0.0, 0.0, 0.0]	1	5
hsa-miR-4651	STEAP1B	miRWalk	0	train	[0.6, 0.375, 0.025, 0.0, 0.0]	4	10
hsa-miR-3907	MYO10	miRWalk	0	train	[0.39215686274509803, 0.5686274509803921, 0.0392156862745098, 0.0, 0.0]	3	34
hsa-miR-4433b	HERPUD1	miRWalk	0	train	[0.4142857142857143, 0.5523809523809524, 0.03015873015873016, 0.0031746031746031746, 0.0]	10	63
hsa-miR-4721	PLA2G4E	miRWalk	0	train	[0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]	2	3
hsa-miR-11181	MPP7	miRWalk	0	train	[0.45, 0.525, 0.0, 0.0, 0.025]	2	20
hsa-miR-6805	PROP1	miRWalk	0	train	[0.42735042735042733, 0.5555555555555556, 0.01282051282051282, 0.0, 0.004273504273504274]	2	117
hsa-miR-6881	KLK3	miRWalk	0	train	[0.33379888268156427, 0.5991620111731844, 0.06215083798882681, 0.004189944134078212, 0.0006983240223463687]	4	358
hsa-miR-518d	CHURC1	miRWalk	0	train	[0.16666666666666666, 0.8333333333333334, 0.0, 0.0, 0.0]	4	3
hsa-miR-1913	CES1	miRWalk	0	train	[0.328125, 0.63125, 0.040625, 0.0, 0.0]	4	80
hsa-miR-4689	AVPR1B	miRWalk	0	train	[0.6551724137931034, 0.3103448275862069, 0.0, 0.034482758620689655, 0.0]	1	29
hsa-miR-1227	UHRF1BP1	miRWalk	0	train	[0.3791208791208791, 0.5659340659340659, 0.04395604395604396, 0.01098901098901099, 0.0]	7	26
hsa-miR-378b	AKAP6	miRWalk	0	train	[0.46008403361344535, 0.49789915966386555, 0.03571428571428571, 0.004201680672268907, 0.0021008403361344537]	14	34
hsa-miR-15a	HIC2	miRWalk	0	train	[0.3022988505747126, 0.6333333333333333, 0.05632183908045977, 0.005747126436781609, 0.0022988505747126436]	145	6
hsa-miR-4651	OS9	miRWalk	0	train	[0.3, 0.7, 0.0, 0.0, 0.0]	4	5
hsa-miR-4725	DZANK1	miRWalk	0	train	[1.0, 0.0, 0.0, 0.0, 0.0]	1	2
hsa-miR-4689	CREB3L2	miRWalk	0	train	[0.22857142857142856, 0.7428571428571429, 0.02857142857142857, 0.0, 0.0]	1	35
hsa-miR-1208	GTDC1	miRWalk	0	train	[0.25, 0.7222222222222222, 0.027777777777777776, 0.0, 0.0]	9	4
hsa-miR-4450	GPR55	miRWalk	0	train	[0.35294117647058826, 0.6176470588235294, 0.029411764705882353, 0.0, 0.0]	1	68
hsa-miR-514b	WNT7A	miRWalk	0	train	[0.45467032967032966, 0.5164835164835165, 0.023351648351648352, 0.004120879120879121, 0.0013736263736263737]	4	182
hsa-miR-451a	PHF20	miRWalk	0	train	[0.37313131313131315, 0.5795959595959596, 0.04, 0.005858585858585859, 0.0014141414141414141]	110	45
hsa-let-7f	ATP6V1G1	miRDB	0	train	[0.2711864406779661, 0.6949152542372882, 0.025423728813559324, 0.0, 0.00847457627118644]	59	2
hsa-miR-873	WTIP	miRWalk	0	train	[0.30454545454545456, 0.6454545454545455, 0.04090909090909091, 0.004545454545454545, 0.004545454545454545]	40	11
hsa-miR-1976	RERE	miRWalk	0	train	[0.4418604651162791, 0.5488372093023256, 0.009302325581395349, 0.0, 0.0]	5	215
hsa-miR-7704	BTNL8	miRWalk	0	train	[0.375, 0.625, 0.0, 0.0, 0.0]	2	4
hsa-miR-3681	KCNK12	miRWalk	0	train	[0.4, 0.4, 0.2, 0.0, 0.0]	5	1
hsa-miR-7112	SERF1A	miRWalk	0	train	[1.0, 0.0, 0.0, 0.0, 0.0]	2	3
hsa-miR-4758	CDH19	miRWalk	0	train	[0.625, 0.25, 0.0, 0.125, 0.0]	1	8
hsa-miR-4649	PEA15	miRWalk	0	train	[0.36936936936936937, 0.5801801801801801, 0.04504504504504504, 0.0018018018018018018, 0.0036036036036036037]	5	111
hsa-miR-1972	CLNS1A	miRWalk	0	train	[0.25, 0.625, 0.125, 0.0, 0.0]	8	2
hsa-miR-4685	AAR2	miRWalk	0	train	[0.4230769230769231, 0.5769230769230769, 0.0, 0.0, 0.0]	2	13
hsa-miR-604	HYPK	miRWalk	0	train	[0.5, 0.5, 0.0, 0.0, 0.0]	3	2
