miRNA	gene	support type	label	split	hist	num_miRNA_disease	num_gene_disease
hsa-miR-92a	MAP2K4	TargetScan;miRTarBase;miRWalk	1	train	[0.3141358024691358, 0.6287037037037037, 0.04925925925925926, 0.00654320987654321, 0.0013580246913580246]	162	100
hsa-miR-93	RHOC	TargetScan;miRDB;miRTarBase	1	train	[0.30901408450704226, 0.6222535211267606, 0.058309859154929575, 0.008169014084507042, 0.0022535211267605635]	142	50
hsa-miR-22	SLC2A1	TargetScan;miRTarBase	1	train	[0.3717986041130146, 0.5864890083230695, 0.03792781696711828, 0.0029485313328108088, 0.0008360392639868622]	195	687
hsa-miR-22	HDAC4	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.37588141025641025, 0.5819711538461538, 0.03782051282051282, 0.0031650641025641026, 0.0011618589743589744]	195	256
hsa-miR-181a	MAPK1	TarBase;TargetScan;miRTarBase	1	train	[0.36567187122559675, 0.5954235017677932, 0.035057206227902586, 0.003043678766717175, 0.0008037420119902497]	215	1059
hsa-miR-126	TCF4	miRTarBase	1	train	[0.4186453277362368, 0.5515217106126197, 0.027100004372731645, 0.0021972976518431064, 0.0005356596265687174]	242	378
hsa-miR-218-1	GJA1	TarBase	1	train	[0.40886203423967776, 0.5755287009063444, 0.013091641490433032, 0.0015105740181268882, 0.0010070493454179255]	3	662
hsa-miR-204	CXCR4	miRTarBase	1	train	[0.3592077746340263, 0.5995817443720015, 0.03734776725304465, 0.0028457784885389755, 0.0010169352523885676]	165	739
hsa-miR-582	CREB1	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.34021703919663104, 0.5971007450599287, 0.05579850988014253, 0.0045351473922902496, 0.0023485584710074506]	42	294
hsa-miR-192	RACGAP1	TarBase;miRTarBase;miRWalk	1	train	[0.29667124227865477, 0.6394989704873026, 0.05507892930679478, 0.006691832532601236, 0.002059025394646534]	124	47
hsa-miR-132	MUC13	TargetScan;miRDB;miRTarBase	1	train	[0.2881192881192881, 0.6487493987493987, 0.056156806156806155, 0.005892255892255892, 0.0010822510822510823]	154	54
hsa-miR-124	CAMTA1	TarBase;miRTarBase;miRWalk	1	train	[0.4271978021978022, 0.5468177655677655, 0.023427960927960928, 0.001984126984126984, 0.0005723443223443224]	234	112
hsa-miR-124	CCL2	miRTarBase	1	train	[0.3446025308600935, 0.6096410551898884, 0.04193722344111281, 0.002965967097341341, 0.0008532234115639475]	234	1157
hsa-miR-98	HLF	TargetScan;miRTarBase;miRWalk	1	train	[0.33913884857281085, 0.6144170295113691, 0.040638606676342524, 0.0050798258345428155, 0.000725689404934688]	78	53
hsa-miR-26a	NEAT1	miRTarBase	1	train	[0.3232964050121516, 0.6195436038253953, 0.051163084303885366, 0.004481898810087428, 0.0015150080484802575]	177	179
hsa-miR-1	KCNJ2	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.4223286441185274, 0.5532275765738801, 0.02204928664072633, 0.0018956400279357478, 0.0004988526389304599]	257	117
hsa-miR-125b	GSS	TarBase;miRTarBase	1	train	[0.3461829696427342, 0.6101053211261789, 0.04047635437461279, 0.0029600055069869896, 0.00027534934948716185]	199	73
hsa-let-7b	NR2E1	miRTarBase;miRWalk	1	train	[0.342360756259581, 0.6055186509964231, 0.04701073071027082, 0.003236245954692557, 0.0018736160790325327]	103	57
hsa-miR-410	PLAGL1	miRTarBase	1	train	[0.36906354515050166, 0.5929765886287626, 0.035618729096989966, 0.0016722408026755853, 0.0006688963210702341]	46	130
hsa-miR-574	ADM	miRTarBase;miRWalk	1	train	[0.3625514403292181, 0.5866666666666667, 0.044444444444444446, 0.004526748971193415, 0.0018106995884773663]	60	405
hsa-miR-186	AKAP12	miRTarBase	1	train	[0.315018315018315, 0.6174936174936175, 0.05783105783105783, 0.007548007548007548, 0.002109002109002109]	91	99
hsa-miR-182	RECK	TarBase;TargetScan;miRTarBase	1	train	[0.3217826690462027, 0.6224469561768788, 0.04853261947253619, 0.005552250644457664, 0.0016855046599246481]	164	123
hsa-miR-130b	IGF1	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3548709762159759, 0.6001778244791561, 0.04049548366237598, 0.003394830965708166, 0.0010608846767838017]	82	1207
hsa-miR-340	ROCK1	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.33431528662420384, 0.5928343949044586, 0.06273885350318471, 0.006926751592356688, 0.0031847133757961785]	80	157
hsa-miR-221	SOCS3	TargetScan;miRTarBase;miRWalk	1	train	[0.35545333333333334, 0.593, 0.04536, 0.00476, 0.0014266666666666666]	200	375
hsa-miR-15a	FGF7	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.30633904604583934, 0.6399339252529423, 0.04790419161676647, 0.0045426388602106136, 0.001280198224241173]	145	167
hsa-miR-639	ZEB1	miRTarBase;miRWalk	1	train	[0.2709677419354839, 0.5806451612903226, 0.13333333333333333, 0.012903225806451613, 0.002150537634408602]	3	310
hsa-miR-26a	NEK6	TargetScan;miRTarBase	1	train	[0.2855461393596987, 0.6581920903954802, 0.052259887005649715, 0.0035310734463276836, 0.00047080979284369113]	177	24
hsa-miR-21	WWP1	TargetScan;miRDB;miRTarBase	1	train	[0.29622370936902487, 0.6476099426386234, 0.051338432122370936, 0.004206500956022944, 0.000621414913957935]	523	40
hsa-let-7c	SNHG16	miRTarBase	1	train	[0.3475676865507374, 0.5967422408100375, 0.047545674664318735, 0.006383447061413163, 0.0017609509134932863]	77	59
hsa-miR-1303	CLDN18	TarBase;miRDB;miRTarBase;miRWalk	1	train	[0.363905325443787, 0.5784023668639053, 0.04881656804733728, 0.0073964497041420114, 0.0014792899408284023]	13	52
hsa-miR-141	E2F3	TarBase;TargetScan;miRTarBase;miRWalk	1	train	[0.3081188997338066, 0.6327270038450162, 0.049689440993788817, 0.0074682046731736175, 0.001996450754214729]	138	98
hsa-miR-101	DONSON	miRTarBase	1	train	[0.4996476391825229, 0.48935870331219167, 0.01028893587033122, 0.00042283298097251583, 0.00028188865398167724]	129	55
hsa-miR-497	RUNX2	miRTarBase;miRWalk	1	train	[0.34984859072909386, 0.6102259492196599, 0.03494060097833683, 0.003820172373631493, 0.0011646866992778943]	106	405
hsa-miR-34a	IFNB1	miRTarBase;miRWalk	1	train	[0.3794651969789753, 0.5809662882534897, 0.035336881938229155, 0.003305227126415124, 0.0009264057028906998]	299	426
hsa-miR-17	MEF2D	TarBase;miRTarBase;miRWalk	1	train	[0.3421717171717172, 0.6118326118326118, 0.04136604136604136, 0.003848003848003848, 0.0007816257816257817]	231	72
hsa-miR-363	NOB1	miRTarBase;miRWalk	1	train	[0.28485714285714286, 0.636, 0.06628571428571428, 0.009428571428571429, 0.0034285714285714284]	70	50
hsa-miR-25	MTF1	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.3681472589035614, 0.5830332132853141, 0.04241696678671469, 0.005202080832332933, 0.0012004801920768306]	119	21
hsa-miR-210	BDNF	TarBase;TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.4047323644097838, 0.5592985643388869, 0.0328230237504431, 0.0024481566820276496, 0.0006978908188585608]	182	992
hsa-miR-26b	IGF1R	miRTarBase	1	train	[0.39748201438848924, 0.5613735815471335, 0.0363420603723207, 0.003578580434621375, 0.001223763257435289]	97	556
hsa-miR-20a	RB1	TarBase;TargetScan;miRDB;miRTarBase	1	train	[0.3320962984108859, 0.6255046694669875, 0.037219797996275304, 0.004268450171961448, 0.0009107839538898631]	217	339
hsa-miR-522	E2F3	TarBase;miRWalk	1	train	[0.35034013605442177, 0.5391156462585034, 0.08163265306122448, 0.023809523809523808, 0.00510204081632653]	12	98
hsa-miR-326	ADGRG2	miRTarBase	1	train	[0.29594017094017094, 0.6383547008547008, 0.057692307692307696, 0.007478632478632479, 0.0005341880341880342]	78	24
hsa-miR-200c	PTPN13	TargetScan;miRTarBase	1	train	[0.31615786810592006, 0.6224489795918368, 0.05380333951762523, 0.0065778377466689155, 0.0010119750379490638]	154	77
hsa-miR-377	TIMP1	miRTarBase	1	train	[0.3702077846063799, 0.5884954313400319, 0.03632165967547882, 0.0034793353493968067, 0.001495789028712646]	51	603
hsa-miR-181a	NANOG	miRTarBase	1	train	[0.29498338870431895, 0.6477740863787376, 0.05079734219269103, 0.005415282392026578, 0.0010299003322259137]	215	140
hsa-miR-424	SMAD7	TargetScan;miRDB;miRTarBase;miRWalk	1	train	[0.2862112479110535, 0.6540704614440163, 0.052760819890181096, 0.005286313563657447, 0.001671157191091709]	109	269
hsa-miR-365a	MAX	TarBase;miRWalk	1	train	[0.386639212994738, 0.5687485701212537, 0.03935026309768932, 0.004804392587508579, 0.0004575611988103409]	31	141
hsa-miR-148a	VAV2	TarBase;TargetScan;miRTarBase	1	train	[0.3964285714285714, 0.5623015873015873, 0.03571428571428571, 0.004365079365079365, 0.0011904761904761906]	126	40
hsa-miR-92a	CCL8	miRTarBase	1	train	[0.2986580783682233, 0.6596349973161567, 0.037412775093934515, 0.00322061191626409, 0.0010735373054213634]	162	115
hsa-miR-767	TET2	TarBase;miRWalk	1	train	[0.4038674033149171, 0.5301104972375691, 0.05966850828729282, 0.004419889502762431, 0.0019337016574585636]	10	362
hsa-miR-200a	MAPK14	miRTarBase	1	train	[0.34938207395299303, 0.6064591227679125, 0.03926740471060257, 0.0036283032419446716, 0.0012630953265472917]	129	626
